filename,num_sentences,num_bullets,num_matching
1457.txt,9,1,0
1458.txt,8,4,4
1459.txt,4,2,3
1464.txt,6,2,1
1465.txt,6,2,0
1471.txt,13,7,7
1472.txt,4,1,1
1474.txt,6,1,1
1475.txt,10,1,2
1478.txt,6,1,0
1479.txt,5,2,2
1483.txt,6,2,1
1484.txt,6,2,0
1485.txt,11,7,2
1487.txt,4,1,0
1491.txt,5,4,5
1492.txt,6,1,1
1493.txt,6,3,2
1494.txt,2,3,3
1496.txt,7,2,1
1497.txt,10,2,3
1498.txt,6,2,0
1499.txt,5,1,2
1500.txt,6,4,3
1501.txt,21,4,4
1505.txt,6,2,2
1506.txt,11,4,0
1508.txt,4,1,0
1513.txt,7,4,3
1514.txt,10,3,0
1519.txt,7,3,4
1524.txt,10,3,3
1525.txt,14,6,9
1526.txt,7,1,0
1527.txt,7,5,3
1528.txt,5,1,0
1529.txt,10,5,2
1531.txt,5,4,0
1534.txt,12,7,11
1538.txt,6,2,1
1541.txt,4,4,1
1542.txt,6,4,0
1543.txt,8,1,1
1546.txt,4,1,0
1547.txt,5,1,1
1548.txt,5,1,1
1552.txt,9,2,2
1553.txt,6,1,1
1554.txt,5,1,0
1555.txt,7,2,1
1556.txt,11,4,3
1557.txt,10,9,5
1558.txt,8,1,2
1559.txt,7,3,3
1562.txt,4,1,1
1563.txt,8,2,1
1564.txt,7,12,2
1565.txt,8,2,1
1567.txt,5,1,1
1568.txt,4,1,1
1569.txt,5,1,0
1570.txt,8,2,0
1571.txt,15,8,6
1572.txt,11,1,1
1575.txt,6,2,0
1576.txt,7,4,3
1577.txt,5,1,2
1578.txt,8,3,1
1580.txt,10,2,4
1581.txt,6,1,2
1583.txt,5,1,0
1584.txt,4,1,0
1585.txt,6,1,0
1586.txt,8,1,0
1589.txt,7,4,4
1591.txt,11,4,2
1592.txt,7,4,2
1593.txt,5,3,2
1595.txt,7,3,2
1596.txt,7,1,1
1599.txt,8,2,1
1600.txt,7,2,1
1604.txt,3,1,0
1607.txt,5,1,1
1609.txt,7,2,0
1610.txt,4,1,0
1612.txt,8,4,4
1613.txt,6,5,2
1614.txt,7,4,2
1617.txt,7,5,4
1619.txt,11,3,2
1621.txt,5,1,1
1624.txt,4,2,1
1625.txt,5,1,0
1626.txt,8,2,6
1628.txt,6,9,2
1630.txt,8,1,2
1631.txt,11,7,4
1634.txt,14,6,3
1635.txt,11,5,1
1637.txt,6,2,0
1638.txt,5,4,4
1639.txt,5,1,1
1640.txt,6,1,2
1641.txt,7,1,1
1642.txt,5,1,0
1644.txt,6,2,1
1645.txt,8,2,0
1648.txt,9,2,3
1649.txt,14,4,7
1650.txt,5,1,0
1651.txt,2,1,0
1652.txt,7,1,2
1653.txt,6,1,0
1654.txt,9,5,6
1658.txt,7,1,0
1660.txt,6,1,2
1662.txt,7,2,2
1664.txt,3,3,1
1665.txt,6,1,1
1666.txt,9,7,3
1667.txt,10,2,2
1668.txt,12,4,3
1669.txt,6,2,1
1670.txt,4,1,0
1673.txt,8,1,2
1675.txt,5,1,1
1676.txt,9,3,1
1678.txt,14,6,4
1680.txt,2,1,0
1682.txt,10,1,0
1683.txt,8,7,7
1685.txt,4,2,3
1686.txt,5,2,0
1687.txt,9,1,2
1691.txt,10,4,6
1692.txt,4,1,1
1693.txt,5,2,2
1694.txt,11,1,0
1695.txt,14,1,1
1699.txt,12,5,6
1700.txt,2,1,1
1702.txt,7,1,0
1703.txt,6,2,2
1704.txt,8,7,3
1706.txt,6,1,2
1708.txt,8,1,0
1709.txt,6,1,1
1711.txt,5,1,0
1712.txt,5,2,3
1714.txt,6,1,1
1715.txt,5,1,1
1717.txt,5,2,2
1718.txt,6,1,1
1720.txt,11,6,6
1722.txt,6,3,3
1723.txt,6,2,0
1724.txt,5,4,5
1725.txt,10,3,2
1727.txt,14,7,7
1728.txt,5,2,3
1729.txt,7,1,2
1730.txt,7,1,0
1731.txt,5,1,2
1733.txt,5,5,2
1735.txt,10,3,2
1736.txt,6,1,2
1738.txt,5,1,0
1739.txt,13,6,8
1740.txt,7,3,5
1741.txt,9,4,5
1742.txt,5,2,1
1743.txt,4,3,1
1747.txt,10,1,2
1749.txt,5,2,1
1750.txt,12,8,6
1752.txt,9,2,3
1753.txt,6,2,2
1754.txt,4,1,0
1755.txt,6,4,3
1758.txt,9,4,1
1759.txt,6,3,1
1760.txt,5,2,1
1762.txt,3,2,1
1763.txt,4,1,1
1764.txt,5,1,1
1765.txt,6,3,2
1767.txt,5,1,0
1768.txt,7,2,0
1769.txt,6,6,3
1771.txt,4,1,0
1772.txt,5,1,1
1773.txt,2,1,0
1774.txt,6,1,0
1776.txt,7,1,0
1777.txt,9,6,3
1781.txt,5,1,0
1782.txt,8,4,3
1783.txt,6,4,1
1784.txt,3,2,0
1785.txt,6,2,0
1786.txt,5,1,0
1787.txt,5,1,0
1789.txt,3,1,1
1791.txt,16,4,4
1792.txt,5,4,1
1795.txt,9,2,2
1797.txt,5,1,1
1798.txt,8,2,1
1800.txt,4,1,1
1801.txt,6,1,2
1803.txt,4,2,1
1804.txt,5,1,0
1806.txt,4,1,0
1807.txt,4,4,2
1808.txt,8,1,1
1811.txt,7,4,3
1815.txt,6,1,0
1816.txt,8,4,2
1817.txt,9,7,3
1818.txt,4,3,1
1819.txt,5,4,1
1820.txt,5,1,0
1821.txt,5,1,0
1822.txt,7,1,0
1823.txt,19,3,3
1825.txt,3,1,1
1829.txt,8,1,1
1830.txt,6,3,1
1832.txt,11,4,3
1833.txt,6,3,1
1835.txt,7,1,3
1836.txt,6,3,2
1838.txt,5,1,1
1839.txt,6,1,0
1840.txt,12,1,2
1841.txt,4,1,0
1842.txt,3,2,1
1844.txt,4,2,3
1845.txt,9,3,1
1846.txt,7,1,1
1847.txt,7,2,0
1848.txt,8,4,3
1849.txt,5,1,1
1855.txt,10,3,5
1857.txt,8,1,2
1858.txt,9,9,4
1859.txt,5,2,1
1860.txt,11,4,2
1862.txt,7,2,1
1863.txt,7,6,4
1864.txt,5,3,1
1865.txt,9,2,0
1866.txt,4,1,0
1867.txt,16,12,7
1868.txt,6,4,5
1869.txt,9,2,2
1870.txt,11,4,7
1872.txt,6,1,1
1873.txt,6,1,0
1874.txt,16,9,10
1875.txt,7,2,1
1876.txt,6,5,2
1878.txt,8,1,1
1880.txt,8,2,3
1881.txt,6,1,1
1883.txt,5,1,0
1884.txt,12,3,4
1886.txt,7,3,1
1887.txt,7,4,2
1888.txt,7,3,3
1889.txt,10,3,2
1890.txt,9,4,2
1891.txt,4,1,0
1892.txt,5,2,1
1893.txt,7,3,4
1894.txt,6,1,1
1895.txt,5,1,0
1897.txt,6,2,1
1898.txt,12,4,4
